
pass a marathon				    пройти марафон
fall in love				    закохатися              (фолен)
visit 30 countries  			відвідати 30 країн
link                            посилання               
sphere                          сфера (роботи)
learn a foreign language        вивчити іноземну мову
buy my own house                купити власний будинок  
have a big family               мати велику родину
byu a car                       купити машину
see the seven wonders of the world      побачити 7 чудес світу
find a dream job                знайти роботу мрії
spend New Year's Eve in Times Square    провести переддень Нового року на Таймс сквері
do volunteer work               займатися волонтерством
read 100 books                  прочитати 100 книжок    
go to the zoo                   відвідати зоопарк
run a million of dollars        заробити мільєон доларів
watch 100 muvies                подивитися 100 фільмів
do sport regularly              регулярно займатися спортом
attend ten music festivals      відвідати 10 музичних фестивалей
be thankful                     бути вдячним
learn to dance                  навчитися танцювати

